history_window_start_year,history_window_start_month,history_window_start_day,history_window_end_year,history_window_end_month,history_window_end_day,prediction_window_start_year,prediction_window_start_month,prediction_window_start_day,prediction_window_end_year,prediction_window_end_month,prediction_window_end_day,income_amount,expense_amount,withdrawal_amount,balance_mean,balance_median,balance_std,balance_eod,amount_mean,amount_median,amount_std,amount_min,amount_max,type_INCOME_count,type_EXPENSE_count,type_WITHDRAWAL_count,operation_DEPOSIT_count,operation_WITHDRAWAL_count,operation_CARD WITHDRAWAL_count,operation_TRANSFER TO ACCOUNT_count,operation_TRANSFER FROM ACCOUNT_count,k_symbol_PENSION_count,k_symbol_INTEREST_count,k_symbol_SIPO PAYMENT_count,k_symbol_SERVICES_count,k_symbol_INSURANCE_count,k_symbol_LOAN_count,k_symbol_PENALTY INTEREST_count,k_symbol_UNKNOWN_count,unique_bank_count,unique_transfer_account_count,unique_account_id_count,target_next_window_cashflow,target_next_window_cashflow_lag_1,target_next_window_cashflow_lag_2,target_next_window_cashflow_lag_3,target_next_window_cashflow_lag_4,target_next_window_cashflow_lag_5,target_next_window_cashflow_lag_6,target_next_window_cashflow_lag_7
1993,1,8,1993,2,7,1993,2,7,1993,3,9,1036990.6,61600.0,0.0,10682.634299516907,4892.9,16662.394304314686,6159.0,5307.2009661835755,800.0,9577.382820103549,0.8,49752.0,204,3,0,147,3,0,0,20,14,37,0,0,0,0,0,156,10,20,117,2707950.1,2639782.1,2615982.1,2432174.1,2235010.1,2208441.1,2180807.1,2158273.6999999997
1993,1,9,1993,2,8,1993,2,8,1993,3,10,1189953.6,85312.0,0.0,12000.39534883721,5439.0,17796.075986909233,3999.0,5931.467906976744,1000.0,9902.244420404995,0.8,49752.0,210,5,0,143,4,0,1,30,18,37,1,0,0,0,0,159,12,31,118,2818839.1,2707950.1,2639782.1,2615982.1,2432174.1,2235010.1,2208441.1,2180807.1
1993,1,10,1993,2,9,1993,2,9,1993,3,11,1294361.5999999999,86812.0,0.0,12177.939130434783,5251.15,17954.295599304245,1000.0,6005.102608695652,1000.0,10150.564435657683,0.8,49752.0,224,6,0,154,5,0,1,33,18,37,1,0,0,0,0,174,13,34,131,2861908.1,2818839.1,2707950.1,2639782.1,2615982.1,2432174.1,2235010.1,2208441.1
1993,1,11,1993,2,10,1993,2,10,1993,3,12,1504457.5999999999,86812.0,0.0,12895.41,5984.25,18061.868984712066,49790.0,6630.29,1000.0,10760.70616105976,0.8,49752.0,234,6,0,161,5,0,1,36,18,37,1,0,0,0,0,184,13,37,133,2865313.1,2861908.1,2818839.1,2707950.1,2639782.1,2615982.1,2432174.1,2235010.1
1993,1,12,1993,2,11,1993,2,11,1993,3,13,1591560.6,92012.0,0.0,13190.600809716601,6159.0,18031.717871356417,19772.0,6816.083400809717,1100.0,10989.3370716526,0.8,49752.0,240,7,0,166,6,0,1,37,18,37,1,0,0,0,0,191,13,38,137,3092397.1,2865313.1,2861908.1,2818839.1,2707950.1,2639782.1,2615982.1,2432174.1
1993,1,13,1993,2,12,1993,2,12,1993,3,14,1738259.6,146912.0,0.0,14486.785433070867,6430.2,19765.52545521158,400.0,7421.935433070867,1100.0,11461.532573467328,0.8,49752.0,245,9,0,170,8,0,1,38,18,37,1,0,0,0,0,198,13,39,139,3252216.0999999996,3092397.1,2865313.1,2861908.1,2818839.1,2707950.1,2639782.1,2615982.1
1993,1,14,1993,2,13,1993,2,13,1993,3,15,1924826.6,170912.0,0.0,15101.475746268656,7225.25,19595.17752081124,700.0,7819.920149253731,1350.0,11464.937357086368,0.8,49752.0,257,11,0,178,10,0,1,42,20,37,1,0,0,0,0,210,13,43,141,3186533.1,3252216.0999999996,3092397.1,2865313.1,2861908.1,2818839.1,2707950.1,2639782.1
1993,1,15,1993,2,14,1993,2,14,1993,3,16,2044367.6,171412.0,0.0,15288.696785714284,7709.8,19160.23261622091,5429.0,7913.498571428572,2960.5,11101.558210275123,0.8,49752.0,268,12,0,186,11,0,1,45,23,37,1,0,0,0,0,219,13,46,144,3007172.1,3186533.1,3252216.0999999996,3092397.1,2865313.1,2861908.1,2818839.1,2707950.1
1993,1,16,1993,2,15,1993,2,15,1993,3,17,2158135.6,171412.0,0.0,15369.38068965517,8293.0,19194.911852027344,9362.9,8032.92275862069,3171.0,10997.37555230215,0.8,49752.0,278,12,0,192,11,0,1,49,25,37,1,0,0,0,0,227,13,50,146,2889150.1,3007172.1,3186533.1,3252216.0999999996,3092397.1,2865313.1,2861908.1,2818839.1
1993,1,17,1993,2,16,1993,2,16,1993,3,18,2146679.6,171412.0,0.0,15277.540893470788,7741.0,19198.10695575562,1200.0,7965.950515463918,3098.0,10990.27130497342,0.8,49752.0,279,12,0,193,11,0,1,49,25,37,1,0,0,0,0,228,13,50,147,2905499.1,2889150.1,3007172.1,3186533.1,3252216.0999999996,3092397.1,2865313.1,2861908.1
1993,1,18,1993,2,17,1993,2,17,1993,3,19,2130456.6,171412.0,0.0,15120.52517006803,7647.9,19147.131269563688,700.0,7829.485034013605,3039.5,10921.373237870199,0.8,49752.0,282,12,0,196,11,0,1,49,25,37,1,0,0,0,0,231,13,50,151,2958080.1,2905499.1,2889150.1,3007172.1,3186533.1,3252216.0999999996,3092397.1,2865313.1
